DepMap_ID,BRD-K09877029-001-01-2::2.5::HTS,BRD-K21025364-001-04-9::2.5::HTS,BRD-K21025364-001-05-6::2.44::HTS,BRD-K43578482-001-01-4::2.5::HTS,BRD-K79239947-001-06-8::2.5::HTS,BRD-K99545815-001-06-3::2.5::HTS
ACH-000001,-1.30481767076,0.60223732219,1.75310133599,-0.268906303157,0.231227323842,0.0599008068535
ACH-000007,-0.889866100048,-3.2908938364,-0.334282370552,-0.355331888719,0.173199609713,-2.48377126705
ACH-000008,-0.431009528,-0.216189780022,-2.67011357006,0.107988599074,0.243651048863,-0.773102646241
ACH-000010_FAILED_STR,-0.804667834351,,,-0.829308485491,-0.998081336979,-2.09539159084
ACH-000011,-0.167951069504,-2.07702097876,-3.08871633963,-0.299487177522,0.616482409982,-0.494439777886
ACH-000012,-0.129736719982,,-3.39724459251,-0.0472509280397,-0.0879244576083,-0.624578114899
ACH-000013,0.134139179219,-1.24296858564,-0.545326362471,1.10146662449,0.623080529712,0.362593546226
ACH-000014,-0.442467179692,-3.14877164663,-1.27161780914,0.246330168217,-0.0167649743628,-0.181768327055
ACH-000015,-0.212189198214,-0.628495605905,-0.0987150782951,-0.417035997535,-1.60359653015,-1.79790287311
ACH-000018,0.588170858017,-0.756821508922,-1.03413410065,0.940165670424,1.1330420887,0.292049139065
ACH-000019,-1.12368582662,-2.87096162132,-2.94351919326,-0.804178679437,-0.618362326227,-1.53758772539
ACH-000021,-0.0218450393383,-1.65114685055,-0.0357564278773,0.570885790995,0.527059560167,0.455872168638
ACH-000022,-0.601092872038,-1.8621433218,-0.0738267164196,-0.137574723538,0.941782027481,-0.477095271705
ACH-000023,-1.6179449127,-1.76921218029,,-0.808441640712,0.15052992058,-1.50983993391
ACH-000026,0.861920680291,-0.650037143266,-1.09020559532,1.02786567613,1.21327492914,0.449115242773
ACH-000027,-0.784531767205,-2.30161091542,-1.92282668985,0.270760394195,0.648240375883,0.0399521743009
ACH-000028_FAILED_STR,-0.670410241051,-1.03637617085,,-0.165934668918,0.550025157681,-0.518271817731
ACH-000030,-0.67007696856,-2.95742501123,-3.1987989917,-0.0838453380194,0.369183864452,-2.17113755909
ACH-000035,-0.183462523521,-3.12366456045,-2.569725815,-0.221609876766,-0.318598375089,-1.82638305851
ACH-000037,-0.763672328835,-4.32407209916,0.567637048773,0.522735343104,0.421343696541,-0.727219544584
ACH-000040,1.81814343597,-1.34388920498,-0.790022987683,,0.844681304104,1.13527960417
ACH-000041,0.174741035704,-1.06312580357,-1.96704504933,-0.491040267409,0.538099322764,-1.67312064503
ACH-000042,-1.2384786127,-2.4764293236,-2.80100055501,0.822199803873,1.50644273163,-0.519172651641
ACH-000046,-1.17238970625,-2.18589755474,-1.21479695649,-0.75172611492,0.261089003728,-1.66055238937
ACH-000047,-1.79021704856,-3.34780750369,-2.77174628406,-1.42863999463,-0.0350009040983,-2.36007788113
ACH-000048,-1.02834107189,-2.40820719355,-1.58865643626,-1.03599668447,-0.973403918064,-0.875222515059
ACH-000051,-0.545480272597,-0.308667639635,,,,
ACH-000052,0.325159730558,-3.73191249357,-1.40143515955,-0.522806928409,-0.953390763257,-1.8197595145
ACH-000054,0.332297862259,-1.69548706828,-1.84447431405,-0.890912655434,0.274466051519,-1.92578379172
ACH-000060,0.024495975151,-1.10735331754,-0.203527979947,1.60058838027,0.893301228903,0.0821154020681
ACH-000062,-0.613178804077,-1.05800679355,-2.7900085278,0.359457047159,-1.16511846362,-1.70341252522
ACH-000066,-1.09064441835,-3.99946819123,-2.7863217847,-0.202310032999,0.466860487914,-0.975441332456
ACH-000075,-0.974325125102,-1.65367761122,-1.07005284667,0.16627494222,-0.209601452175,-0.563476271859
ACH-000078,-0.500009889839,1.09432686047,-1.38466150413,-1.17260972108,-0.399129576307,-0.834536691818
ACH-000082,0.648242052036,-1.25457440518,-0.376548092071,-0.175924742848,0.445542422239,-0.787648625575
ACH-000085,0.757588066487,-0.52673957338,-3.23541316214,0.215539557471,1.06273240854,0.896683294597
ACH-000086,0.384730988569,-0.595557394284,-0.345670641434,0.16284987428,1.19662223931,-0.643961461277
ACH-000087,-1.59472822609,-2.76640722388,-1.04038073757,-1.11223910753,-0.104418192261,-1.84934711203
ACH-000090,-0.542264981845,-0.722420986231,-2.72856367641,-0.314825270889,0.79019571014,-0.816178563327
ACH-000091,0.159394923516,-1.1011182106,-1.22328385458,0.0312884841248,1.1860759285,0.113945501289
ACH-000092,-0.133693263679,-2.06665706007,-1.27246874292,-0.427761568852,0.85420067901,-0.658321554906
ACH-000093,,,,,,1.75911062129
ACH-000096,-1.11017617418,-2.53362962599,-1.45038878077,-0.284009151827,-0.0376939948212,-0.632495781837
ACH-000097,-0.422952113952,-0.746436577704,0.908410401277,0.00509170010871,-0.0648048538318,-0.0475840402378
ACH-000098,0.753107581672,-1.11383729363,-0.594118210895,1.05916338885,0.271496642419,-1.39118997609
ACH-000099,-0.657283476231,-0.42463383485,-0.655815180582,-0.502316348113,-0.523395129206,-0.265732317663
ACH-000102,0.0390561479011,-0.687085692738,-0.317141309636,-0.114102116732,0.542490389365,-0.0122671285143
ACH-000107,0.303370099082,-1.28749802373,-1.56316407176,-0.196776305773,1.09368063476,-1.4589422146
ACH-000108,-0.88963337966,-1.11281948188,-1.52616370932,-0.265451742466,0.416918353805,0.00270157496441
ACH-000114,-1.25418930505,0.291212649497,-1.71467126046,,-0.581947888296,-0.899473249228
ACH-000116,-0.467997170995,-1.67665561948,-2.50877389167,0.35718156802,-0.782625400059,0.304066625604
ACH-000117,0.857468684518,0.692917166994,0.723401374695,0.982952575343,0.195348091442,1.3983180317
ACH-000118,0.611877033286,-2.39257773215,-1.63413404506,-0.32468833464,-0.121888446844,-1.49230310902
ACH-000120,0.56109507827,0.731143195108,-1.57576749591,,-0.686915220302,-1.54688366114
ACH-000123,-0.914126288442,-1.35346561384,-1.25213875519,-0.806418708431,-0.48420800487,-0.86028180715
ACH-000132,-0.434819983747,-0.753694695456,-1.11812050665,0.279896042654,0.55090093274,-0.576727325688
ACH-000133,0.102988388528,-1.72556540113,-0.651189904934,0.0834552148532,-0.072449203662,-0.857568711227
ACH-000137,-0.282975562883,-1.42001512464,-1.57674266133,-0.241810156089,-0.224602954913,-0.221923026422
ACH-000138,0.131960635309,-2.41650232913,-2.71649165349,-0.446007726209,-0.0956135502326,-0.462683621627
ACH-000139,-0.868805910597,-1.48503432726,-2.80672510313,-0.972281229579,1.69941715528,-1.82828159842
ACH-000141,-0.522643869617,-1.47559953711,-2.15691127443,-0.211878160328,0.729168316117,-0.054274086767
ACH-000142,-1.24773857002,-2.29896248348,-3.13586087737,-1.09456615265,-0.502032001584,-2.48994715059
ACH-000147,0.121244359525,-0.788375457702,-1.34123885642,0.903393589725,-0.233937047504,-0.879060746462
ACH-000149,-0.109598824965,1.02713052168,-0.708289623953,,,-0.526134958663
ACH-000153,0.837059465596,-2.13194675328,-1.83716995913,0.711528302987,0.843512288571,-0.269547265958
ACH-000155,-1.1400746537,-1.51512382953,-3.12941027596,0.320714653945,0.223259430653,-0.253389391274
ACH-000159,0.117013271752,-1.71149553798,-0.834170400742,-0.18130842032,0.792372758515,-0.967603765882
ACH-000161,-0.498899366067,-0.0646009819363,-1.1663318621,-0.637237860792,0.387452365523,-0.192829795017
ACH-000163,-0.684218244074,-1.12909987659,0.531705905989,0.142143726205,0.649049589918,-2.33958295213
ACH-000164,0.156108525114,-0.309346860424,-1.43402368554,0.959572109504,0.778727747239,0.000356997342123
ACH-000169,-0.516424223749,-0.59224630749,-0.426734590791,1.00076151084,0.943671422921,0.680075031215
ACH-000171,-0.687262743165,-2.44185405978,-1.84362485163,0.106157054521,0.751004576102,-0.823669268413
ACH-000172,-0.284468546057,-2.07090434202,-1.73243431344,-0.0635378620471,-0.172992254879,-0.928011015384
ACH-000174,-0.172335081742,-0.800366393641,-0.753994523015,0.342830706501,0.219325377458,-0.127316086063
ACH-000176,0.329474660882,-1.35040465789,-2.19577920096,0.646267883969,0.955388761109,0.747257405261
ACH-000178,0.1658181199,-0.67360892639,-0.830656438056,0.446078460963,0.533605775789,-0.232769443666
ACH-000182,0.408267682126,-0.845005984874,-1.64737157831,-0.549694092576,0.927402004103,-0.207474906268
ACH-000186,-0.487099150571,-2.40791256657,-2.59391336637,-0.163140223599,0.246014308789,-1.43032135149
ACH-000188,-1.53619632292,-3.09945337766,-2.77813472192,-1.08585293268,0.210074764795,-2.0186223985
ACH-000189,0.382932966042,-2.1287729558,-1.729252973,0.192880577592,0.181144918421,-0.410141240361
ACH-000191,-1.29394859241,-3.02155944003,-2.15358823751,-0.345324801766,-0.249833454609,-2.51511823978
ACH-000192,-0.594482372532,-1.17603756865,-3.27993395019,-0.111078886205,0.287019858715,-0.431528092097
ACH-000200,-0.465844667266,-1.55756779363,-1.30235240459,-1.33314655289,0.902319548485,0.0362329171355
ACH-000201,-0.711073834505,-1.66351656663,-1.86768206897,-1.03792236039,-0.190259326725,-2.54143477914
ACH-000205,-0.572008933557,-3.52466194807,-1.614742462,0.0578129534789,0.491326778037,-1.67613203911
ACH-000207,-1.33663991301,-2.19609135977,-3.82749953833,-0.637967034429,-0.836904377646,-2.28085187613
ACH-000209,0.469408414197,-1.30033935357,-0.910067763492,-1.82166102099,0.225283840413,0.881607675309
ACH-000210,-0.547628897483,-3.34405473608,-3.08303112137,1.44988157037,0.872874124821,0.830644109582
ACH-000211,-1.63785274671,-2.26903797951,-1.1059183588,0.371044088559,-0.134950489367,-2.75305088296
ACH-000212,0.374522779385,-2.74176585345,0.00940613212197,1.35231660898,-0.233598544728,-0.245253995536
ACH-000213,-1.68298521229,-2.27997711915,-2.50126429633,-1.32078662711,-0.461601423579,-0.88673044709
ACH-000217,-0.00141376029072,-1.51658559864,-1.21386475872,-0.57874267864,0.707156039273,-0.0872458759536
ACH-000219,-0.140313452013,-4.17280413426,-4.1043944845,0.541809989369,0.180468145262,-1.67095498039
ACH-000221,-1.07046826056,-1.14475241106,,-1.82463582885,-1.33350974443,-1.24260024897
ACH-000222,-0.656340647838,-2.42950252008,-3.66351011365,0.185686418534,-0.239136888688,-0.930146285676
ACH-000223,-0.150371529977,-0.934733293308,-1.38505392978,0.540182828101,0.352964368156,-0.997275919212
ACH-000227,0.308682675747,-0.190592954572,0.0568979456176,-1.01132431475,0.451414729196,-0.225578554672
ACH-000228,-0.404882637538,-3.42619168867,-3.19908401552,-0.0734963147419,0.57966509651,-1.04992237233
ACH-000231,0.212761984941,0.13791963654,-0.339534949234,-0.106332910145,0.358644982527,-2.21353219204
ACH-000232,-0.713406456989,-1.68728937014,,-0.265003550489,-0.341441431692,-1.86460607505
ACH-000234,-0.102853975709,-2.84300786212,-1.37016216422,-0.241030944785,0.946365175199,-0.928591886997
ACH-000235,-0.965693122416,-3.48259537788,-2.4635832577,-0.105114232033,0.887071550693,-1.38048117581
ACH-000237,-2.66113878007,,-2.68976405064,-0.994153742019,0.067990033336,-3.73936481974
ACH-000242,-1.37438487066,-1.17631293984,-2.04642856349,-0.810479201007,-0.190407891372,-2.21161353913
ACH-000243,-2.35718179311,-4.92117591338,-0.166468124309,-1.02025063587,-0.713071621379,-3.4084351961
ACH-000244,0.161772840629,-1.23379711501,-0.801891032703,0.951491895168,0.0489047750987,0.403661878496
ACH-000249,0.135518694794,-1.75320354837,-2.03815432396,0.838160433468,0.53052985206,-1.11265357302
ACH-000250,0.0699044100605,-1.91940382205,-0.00209099581349,0.649090710774,0.510818155793,0.3665609962
ACH-000252,-0.422137994542,-1.60235339396,-1.20321420801,0.170714434868,1.35244232957,-0.591437444582
ACH-000255,-0.355033516589,,-1.89631474806,-0.468316712955,-0.514509343793,-2.21230036566
